Abbott	 86820 19367 17941 49730 76824 13790 84069 86084 65181 9977 45848 91781 65326 76824 5903 72019 18200 13790 86982 4834 38778 86982 88218 13790 4466 49740 18200 37585 76824 18200 72019 91781 44852 45912 45848 19367 51488 65181 37585 30166 18200 58504 13790 86982 65181 45912 62757 32348 68667 82808 62757 36496 19367 68667 82808 62757 5903 4466 65326 82808 40133 310 72019 76824 37585 80275 84069 86982 45912 19346 45848 58504 30166 84069 77 38778 44852 86084 4466 45912 91781 98698 9977
Acevedo	 28084 76300 33150 46185 12294 60611 28985 9929 3929 30845 60611 65041 191 11267 75805 41653 30845 65041 6521 77785 3523 75805 96398 6521 74027 55622 40109 13352 92978 66291 65806 35525 31030 74027 7171 4099 11267 63204 55622 77785 3929 74027 9929 63204 3929 3929 46434 87607 65292 74027 92978 65292 32207 88210 59350 96681 41369 92978 59350 75805 65806 191 3523 77785 59350 30845 65806 3523 46185 32207 41653 6521 6521 33150 35525 46185 32207 27926 66634
Acosta	 37606 4789 37606 1557 13691 85893 66701 84220 58220 29505 29505 11103 67812 49764 81651 95613 3524 6607 11103 41342 81651 7009 89672 3524 9483 7009 12813 37807 38982 60435 85893 66701 40191 5104 1557 54671 81651 11103 11103 66701 82595 45991 58220 30480 43082 50 11103 91855 15601 85893 12899 84220 19729 11103 85893 45991 91855 40001 15597 43082 9483 45991 4789 85893 60435 41342 5104 1557
Adams	 79056 55499 68748 55499 3970 8785 24238 3970 90115 42750 58980 59953 55499 22688 59953 74464 59953 40921 74464 90589 176 60174 176 24238 87250 32858 19835 45121 60174 87395 87395 22688 176 90115 55499 54040 62784 62784 89952 60174 62784 63430 75084 41277 88892 69432 29269 58980 59953 8785 39873 8935 58980 59953 54040 62784 54040 98457 79056 98622 60268 3970 94667 94667 22688 29550 39873 17830 65118 84313 176 36923 69432 87395 68748 60268 57401 68748 28233 87395 29550
Adkins	 90254 39565 78051 2997 33615 73334 36194 71189 36194 48992 13510 2997 8518 18124 20567 48992 21778 81203 42674 37943 606 43640 20567 13912 36194 5541 22589 22589 28636 22589 78051 71508 39565 70100 36194 19407 8720 77195 606 8518 42674 19407 93079 77195 93079 20567 72455 71508 606 48992 86335 76237 83534 90254 70100 33615 71508 77195 94200 13912 73334 5498 5541 94200 93079 13510 20567 93079 8720 2997 78051 21778 33615 42674 8720 27199 32332 31376 86335 81203 80833 5498 71189 72455 2997 73334 86335 91877 43640 21778 70100 8720 89405 28636 5541 76671 81203
Aguilar	 46424 72555 1810 83007 44263 24217 4524 38761 91258 44050 5467 81008 88999 91258 41118 40342 47596 52018 74049 52018 91258 14518 52018 1810 1810 8127 93597 89166 35527 91258 24217 46424 93597 75814 61393 72555 8411 60252 78056 41118 30894 83007 14518 36818 16924 25454 28417 4524 8127 1810 41118 5467 59929 91258 41118 25454 4258 75814 5815 5467 8411 93597 60252 75814 1810 46424 4258 60982 41118
Aguirre	 205 54643 35719 66821 14547 205 54643 22928 26516 78438 50642 32106 72455 62177 18801 76629 22928 3664 35719 30610 46385 35913 23318 32106 86100 205 91455 53734 1170 93442 50642 46385 60860 23318 54643 17847 32106 53734 17847 46385 50642 27033 62177 39657 76626 93442 3664 76629 86100 90359 93442 51426 6957 54643 86100 70327 27529 22928 53734 18801 39798 78438 91455 55198 73061 62177 14547 70327 66821 26516 78438 53734 90359 70327 64733 23318 72455 53734 66821 90359 54643 14547
Alexander	 80717 5179 90815 90945 40192 40192 90945 86034 20164 47254 20164 5179 47965 40036 50112 20164 31130 35567 80717 27390 74253 5919 52064 58114 20164 27363 58114 54073 80717 58114 16922 27363 90815 69764 58114 22038 27754 22038 80717 59274 27754 5919 47965 682 69764 59274 54701 54701 54073 73160 95258 27390 55154 81398 45040 1007
Ali	 93355 83897 61577 11912 65601 61211 87077 93355 65601 96324 69498 32774 66333 47638 87077 64205 66682 77858 6647 41283 3219 12760 20921 13652 58754 58754 48053 79428 66333 47638 40749 58398 6926 12760 61577 61577 77858 6926 66682 38445 46964 66682 35112 93355 98550 82697 82697 12480 82697 69498 83897 76442 98550 20921 66454 6647 67977 3219 98550 87077 82697 6926 20921 88170 11912 76442
Allen	 78695 48525 48849 99355 98257 23874 98257 14173 66508 33478 64587 84591 24337 85413 89218 49563 11118 49078 49078 70943 9419 89218 65770 99355 6125 2248 43521 47642 30989 24337 99355 9419 48849 91005 84591 6107 51025 70943 93378 78078 84591 86832 48525 47758 48525 6107 94845 2248 14173 49563 64587 24337 33537 6107 68149 32675 65770 84591 9419 6107 94845 44192 22892 9419 84591 74654 57505 2248 98257
